,HCC1954_BrM2b_1,HCC1954_BrM2b_2,HCC1954_Parental_1,HCC1954_Parental_2,HCC1954_Parental_3
SOX8,1.133079723,0,0,1.135954023,0
SOX9,5336.805493,5117.569471,4189.761158,4063.307541,3940.992806
SOX9-AS1,78.18250085,105.1840693,86.39661576,95.42013796,106.0722701
SP1,4960.623025,5075.912414,6793.052591,6649.874853,6988.53072
SP100,1169.338274,1163.273321,2007.059843,2035.62961,2192.43223
SP110,480.4258023,459.2690551,968.4016272,1016.678851,1107.231312
SP140,1.133079723,2.082852858,2.84824008,3.40786207,2.447821618
SP140L,660.5854782,658.181503,853.5226106,839.4700232,947.3069663
SP2,1398.220378,1462.162706,1359.559931,1379.048184,1374.043868
SP3,5915.809231,5742.425329,6984.834089,6619.204094,7076.652299
SP4,419.2394973,458.2276287,237.35334,247.6379771,261.1009726
SP5,24.9277539,24.99423429,55.06597488,45.43816093,50.58831345
SP6,1594.24317,1566.305349,2899.508401,2914.858024,2826.418029
SP7,0,0,0,1.135954023,0
SP8,48.72242807,44.78133644,13.29178704,9.087632187,13.05504863
SP9,1.133079723,1.041426429,3.79765344,2.271908047,2.447821618
SPA17,163.16348,160.37967,223.1121396,203.3357702,204.8010754
SPACA1,0,0,0,0,0
SPACA3,0,0,0,0,0
SPACA4,1.133079723,1.041426429,2.84824008,1.135954023,1.631881079
SPACA5,0,0,0,0,0
SPACA5B,0,0,0,0,0
SPACA6P,165.4296395,184.3324779,333.2440894,370.3210116,302.7139401
SPACA6P-AS,21.52851473,26.03566072,29.43181416,31.80671265,37.53326481
SPACA7,1.133079723,1.041426429,0.94941336,0,0
SPAG1,1471.87056,1397.594268,1268.416249,1249.549426,1316.11209
SPAG11A,0,0,0,0,0
SPAG11B,0,0,0,0,0
SPAG16,196.022792,192.6638893,222.1627262,213.5593564,270.0763186
SPAG17,4.53231889,4.165705715,3.79765344,6.81572414,8.159405395
SPAG4,30.59315251,30.20136644,39.87536112,60.20556324,34.26950266
SPAG5,11115.51208,10075.8007,9102.025882,8909.287405,8857.034556
SPAG5-AS1,23.79467417,11.45569072,24.68474736,14.7674023,14.68692971
SPAG6,10.1977175,6.248558573,4.7470668,4.543816093,4.079702697
SPAG7,1150.075918,1091.414897,1113.661871,1078.020368,1029.716961
SPAG8,5.665398613,6.248558573,9.4941336,11.35954023,8.975345934
SPAG9,4128.942509,3878.272021,3573.591887,3608.925932,3647.254211
SPAM1,0,1.041426429,0,0,0
SPANXA1,0,0,0,0,0
SPANXA2,0,0,0,0,0
SPANXA2-OT1,3.399239168,8.331411431,6.64589352,5.679770117,8.975345934
SPANXB1,0,0,0,0,0
SPANXC,0,0,0,0,0
SPANXD,0,0,0,1.135954023,1.631881079
SPANXN1,0,0,0,0,0
SPANXN2,0,0,0,0,0
SPANXN3,0,0,0,0,0
SPANXN4,0,0,0,0,0
SPANXN5,0,0,0,0,0
SPARC,2.266159445,4.165705715,6.64589352,17.03931035,13.87098917
SPARCL1,5.665398613,7.289985002,10.44354696,10.22358621,7.343464855
SPAST,1241.855376,1195.55754,1260.820942,1300.667357,1303.872982
SPATA12,18.12927556,20.82852858,18.9882672,15.90335633,20.39851349
SPATA13,1307.574,1173.687585,1392.789399,1392.679633,1408.313371
SPATA13-AS1,0,0,0,0,1.631881079
SPATA16,0,0,0,0,0
SPATA17,65.71862391,84.35554074,51.26832144,56.79770117,44.06078913
SPATA18,6.798478335,2.082852858,4.7470668,5.679770117,3.263762158
SPATA19,0,0,0,0,0
SPATA2,714.9733049,755.0341609,784.2154353,754.2734715,756.3768801
SPATA20,1717.748859,1873.526146,2251.059076,2316.210254,2185.088765
SPATA21,0,1.041426429,0,1.135954023,1.631881079
SPATA22,1.133079723,0,0,0,0
SPATA24,52.12166724,65.60986502,62.66128176,71.56510347,60.37959992
SPATA25,23.79467417,17.70424929,22.78592064,21.58312644,9.791286473
SPATA2L,623.1938474,568.6188302,451.9207593,443.0220691,390.8355184
SPATA3,0,0,0,0,0
SPATA3-AS1,10.1977175,9.37283786,1.89882672,4.543816093,3.263762158
SPATA31A1,0,0,0,0,0
SPATA31A3,0,0,0,0,0
SPATA31A5,0,0,0,0,0
SPATA31A6,0,0,0,0,0
SPATA31A7,0,0,0,0,0
SPATA31C1,0,0,0,0,0
SPATA31C2,0,0,0,1.135954023,0
SPATA31D1,0,0,0,0,0
SPATA31D3,0,0,0,0,0
SPATA31D4,0,0,0,0,0
SPATA31D5P,0,0,0,0,0.815940539
SPATA31E1,0,0,0,0,0
SPATA32,24.9277539,34.36707215,29.43181416,37.48648277,36.71732428
SPATA33,406.7756204,337.4221629,252.5439538,236.2784369,233.3589943
SPATA4,7.931558058,9.37283786,5.69648016,2.271908047,5.711583776
SPATA41,10.1977175,10.41426429,12.34237368,14.7674023,13.87098917
SPATA42,0,0,0.94941336,0,0
SPATA45,0,1.041426429,0.94941336,3.40786207,4.079702697
SPATA5,593.7337746,503.0089651,468.0607865,471.4209197,483.0367994
SPATA5L1,777.2926896,723.7913681,663.6399386,621.3668508,594.8206533
SPATA6,38.52471057,48.94704216,39.87536112,43.16625289,26.11009726
SPATA6L,197.1558717,176.0010665,506.0373209,520.2669427,536.0729344
SPATA7,331.9923587,345.7535744,375.0182772,364.6412415,366.3573022
SPATA8,0,0,0,0,0
SPATA8-AS1,0,0,0,0,0
SPATA9,10.1977175,18.74567572,17.08944048,23.85503449,35.90138374
SPATC1,0,0,0.94941336,0,0
SPATC1L,730.836421,734.2056323,711.1106066,720.1948508,613.5872857
SPATS1,0,0,0,0,0
SPATS2,751.231856,737.3299116,1225.692648,1191.61577,1201.880415
SPATS2L,7747.999143,7149.392434,10558.42598,10122.4863,10701.06017
SPC24,684.3801524,642.5601066,681.6787925,694.0679083,628.2742154
SPC25,1616.904764,1480.908382,1154.486646,1135.954023,1268.787539
SPCS1,2350.007345,2352.582303,2208.335475,2106.058759,2265.050938
SPCS2,4467.733346,4384.405265,4484.079299,4299.585978,4520.310589
SPCS3,8968.326004,8071.054824,7485.17493,7358.710163,7779.993044
SPDEF,2671.801986,2706.667289,2470.373563,2452.524736,2109.206294
SPDL1,1645.231757,1617.335244,1744.072342,1680.076001,1894.613933
SPDYA,7.931558058,11.45569072,7.59530688,10.22358621,13.87098917
SPDYC,0,1.041426429,3.79765344,0,2.447821618
SPDYE1,16.99619584,22.91138143,14.2412004,13.63144828,15.50287025
SPDYE2,0,0,0,0,0
SPDYE2B,0,0,0,0,0
SPDYE3,21.52851473,18.74567572,13.29178704,13.63144828,17.95069187
SPDYE4,0,0,0,0,0
SPDYE5,35.1254714,31.24279287,35.12829432,34.0786207,29.37385942
SPDYE6,35.1254714,33.32564572,29.43181416,24.99098851,37.53326481
SPDYE7P,12.46387695,10.41426429,10.44354696,7.951678163,12.23910809
SPDYE8P,2.266159445,2.082852858,0.94941336,0,1.631881079
SPECC1,2808.904632,2870.171238,2813.111786,2629.733564,2672.205267
SPECC1L,1502.463712,1545.47682,1219.046754,1165.488828,1227.174571
SPECC1L-ADORA2A,4.53231889,3.124279287,4.7470668,2.271908047,3.263762158
SPEF1,35.1254714,33.32564572,40.82477448,37.48648277,26.9260378
SPEF2,1.133079723,0,0,0,0.815940539
SPEG,1269.049289,1223.676054,2197.891928,2208.294621,1946.018187
SPEM1,2.266159445,0,0.94941336,0,0
